input,target
"Introduction to learning general models from data (learning, data vs knowledge, retail example)",1. What does it mean to learn a general model from particular examples?
,2.Why is data described as cheap and abundant while knowledge is expensive and scarce?
,3. How does the retail example with buying books illustrate learning patterns from customer transactions?
"Short history of machine learning (ENIAC, Turing test, perceptron, statistical learning, current status)",1. What was the significance of the ENIAC computer in 1946 for computational tasks?
,2. How did Alan Turing’s 195 proposal contribute to the foundations of AI?
,3. What role did the perceptron developed by Frank Rosenblatt play in the history of machine learning?
,4.How did the focus of AI research shift in the early 199s?
Definition slide: Artificial Intelligence vs Machine Learning,1. How is artificial intelligence (AI) defined in the lecture?
,2. In what way is machine learning (ML) described as one of the techniques under AI?
,3. Why is ML associated with sophisticated cognitive tasks compared to simpler rule-based systems?
Slide on four approaches to AI (different ways AI systems can be built),1. What are the different high-level approaches to building AI systems mentioned in the lecture?
,2. How do these approaches differ in the way they attempt to achieve intelligent behavior?
,3. Why is it useful to categorize AI approaches instead of treating AI as a single technique?
Slide comparing other AI techniques and machine learning using the chess example,"1. In the chess example, how do traditional AI techniques try to play the game?"
,2. How does machine learning approach the chess problem differently from rule-based systems?
,3. Why can learning from data be more flexible than encoding all rules manually?
“What is machine learning?” first definition slide,1. How does the lecture define machine learning at a high level?
,2. Why is ML particularly useful for problems where programmers cannot explicitly describe the solution?
,3. What kind of real-world tasks are difficult to handle with manually written rules but suitable for ML?
“What is machine learning? – continued” (paradigm shift and when to use ML),1. Why is machine learning considered a paradigm shift within AI according to the lecture?
,2. What are the two types of problems where ML is said to perform especially well?
,3. Why are complex multidimensional problems often better handled by ML than by numerical reasoning alone?
Slide “Machine learning problems” – general applications,1. What kinds of real-world problems are presented as examples of machine learning applications?
,2. How does ML help robots improve their performance according to the lecture?
,3. Why do tasks like computer vision and motion control benefit from ML techniques?
Slide “Types of Machine Learning” – overview of three types,1. What are the three main categories of machine learning introduced in the lecture?
,2. How is supervised learning characterized in terms of examples and labels?
,3. Why are unsupervised and reinforcement learning considered different from supervised learning?
Slide “Supervised Learning” – labels and correlation of features,"1. In supervised learning, what kind of data does the algorithm experience?"
,2. How do labels or targets help the algorithm learn correlations between features?
,3. What are the two most common supervised learning tasks mentioned in the lecture?
Slide on classification vs regression in supervised learning,1. How does the lecture distinguish classification problems from regression problems?
,2. What kind of output values does classification aim to predict?\
,3. What is an example of a real-world regression problem from the slides?
Slide on unsupervised learning – patterns without labels,1. How is unsupervised learning defined in the lecture?
,2. Why does unsupervised learning not require labeled data?
,"3. What is clustering, and why is it a common unsupervised learning task?"
Slide on reinforcement learning – goal-oriented algorithms and rewards,1. How is reinforcement learning described in terms of goals and rewards?
,2. What does the reinforcement signal represent in RL?
,3. Why is RL suitable for problems where the correct action is not explicitly shown but feedback is given?
Slide “Machine learning (mathematically)” with Tom Mitchell’s definition,"1. According to Tom Mitchell’s definition, what three components define machine learning?"
,"2. In the provided example, what is the experience E, task T, and performance measure P?"
,3. Why must performance improvement be measured on tasks rather than just memorizing past examples?
"Slides on “The task, T” – classification, regression, structured output",1. How is the input example x typically represented in terms of features?
,2. What mapping function does a classification task aim to learn?
,"3. What does the lecture mean by structured output, and what is one example of it?"
Slide on transcription and machine translation as tasks,1. What does the lecture describe as a transcription task in machine learning?
,2. Why is machine translation considered a sequence-to-sequence problem?
,3. How is image segmentation an example of assigning outputs at the pixel level?
"Slide on anomaly detection, synthesis and sampling, and imputation",1. How does the lecture define anomaly detection in machine learning?
,2. What is meant by synthesis and sampling in the context of ML?
,3. Why is imputing missing values an important task in many datasets?
"Slide “The performance measure, P” – accuracy and error rate",1. How is accuracy defined as a performance measure in machine learning?
,"2. What is the error rate or –1 loss, and how is it related to accuracy?"
,3. Why can it sometimes be difficult to decide what should be measured as performance?
"Slide “The performance measure, P” – other metrics and test set",1. What alternative performance measures besides accuracy and error rate does the lecture mention?
,2. Why might it be impractical to measure certain implicit performance metrics directly?
,3. Why is a separate test set important when evaluating a model’s performance?
"Slide “The experience, E” – supervised vs unsupervised learning","1. In supervised learning, what does the experience E consist of?"
,2. How is the experience defined in unsupervised learning according to the slides?
,3. What kinds of tasks can be performed when only p(x) is modeled instead of p(y|x)?
"Slide “The experience, E” – semi-supervised, multi-instance, reinforcement","1. What is semi-supervised learning, and how does it combine labeled and unlabeled data?"
,2. How is multi-instance learning different from standard single-instance labeling?
,3. How is reinforcement learning characterized in terms of interaction with an environment?
Slide “A dataset” – design matrix X,"1. What is the design matrix X, and how are examples represented in it?"
,2. How does the lecture describe rows and columns of the design matrix?
,"3. What example dataset shape is given, and what do its dimensions represent?"
Slide “A dataset” – labels vector y,1. How is the label vector y defined in relation to the design matrix X?
,2. What examples of label values are given in the slides?
,3. How can labels be more complex than single integers in some tasks?
Slides “Example: Linear regression” – basic idea,1. What kind of relationship does linear regression aim to model between inputs and outputs?
,2. Why is linear regression considered a simple but powerful model?
,3. In what type of applications is linear regression commonly used according to the lecture?
"Slides “Capacity, overfitting and underfitting” – generalization and i.i.d.",1. What does generalization mean in the context of machine learning models?
,2. What are the two parts of the i.i.d. assumption described in the slides?
,3. Why is the data-generating distribution p_data important for understanding model performance?
Slide on capacity and model complexity,1. How does model capacity relate to the ability to fit complex patterns?
,2. What can happen if a model’s capacity is too low for the underlying data?
,3. What risk arises when a model’s capacity is too high relative to the training set?
Slide on underfitting – characteristics and causes,1. What signs indicate that a model is underfitting the training data?
,2. Why might a model underfit even if trained for many iterations?
,3. How can increasing model capacity or using a more flexible model help reduce underfitting?
Slide on overfitting – characteristics and causes,1. What behavior of training error and test error suggests overfitting?
,2. Why does memorizing the training data lead to poor generalization on new data?
,3. What typical reasons are given for models overfitting in practice?
Slide on controlling overfitting – regularization and data,1. How can regularization help control overfitting according to the lecture?
,2. Why does increasing the amount of training data often reduce the risk of overfitting?
,3. What is the trade-off between model capacity and regularization strength?
Summary slide – key ideas of this fundamentals lecture,"1. What are the key components (T, P, E, dataset) that define a machine learning problem?"
,"2. How do different types of learning (supervised, unsupervised, reinforcement) differ in their experience E?"
,3. Why is generalization to unseen data emphasized as a central goal of machine learning?
Slide: Probability in machine learning – need for probabilistic modeling,1. Why is probability important for building machine learning models?
,2. How does uncertainty influence predictions in ML?
,3. What kinds of problems require probabilistic reasoning?
Slide: Joint probability and marginal probability,1. What is joint probability as described in the lecture?
,2. How is marginal probability obtained from joint probability?
,3. Why is marginalization useful when working with high-dimensional data?
Slide: Conditional probability – basic concept,1. How does the lecture define conditional probability?
,2. What does P(A|B) represent in practical ML settings?
,3. Why is conditional probability essential for classification?
Slide: Chain rule of probability – decomposition,1. What does the chain rule allow us to do with complex joint distributions?
,2. Why is decomposition useful for modeling in machine learning?
,3. Give an example of how chain rule helps simplify probability calculations.
Slide: Independence and conditional independence,1. What is the difference between independence and conditional independence?
,2. Why is conditional independence assumed in many ML models?
,3. What simplifications occur when features are independent?
Slide: Bayes' rule – definition and intuition,1. What is Bayes' rule and what does it relate?
,2. Why is Bayes' rule important for updating beliefs in ML?
,"3. How does Bayes' rule connect prior, likelihood, and posterior?"
Slide: Naive Bayes classifier – core idea,1. What simplifying assumption does the Naive Bayes model make?
,2. Why does Naive Bayes assume conditional independence between features?
,3. What types of tasks is Naive Bayes commonly used for?
Slide: Naive Bayes classification example,1. How does Naive Bayes estimate the probability of each class?
,2. Why is normalization important when comparing class probabilities?
,3. What step selects the final predicted class?
Slide: Maximum likelihood estimation – idea,1. What is the main goal of maximum likelihood estimation (MLE)?
,2. How does MLE choose parameter values for a model?
,3. Why does maximizing likelihood lead to better fitting models?
Slide: Likelihood vs probability,1. How does the lecture distinguish between probability and likelihood?
,2. Why is likelihood treated as a function of parameters?
,3. How is probability used to describe observed data?
Slide: Optimization – gradient descent introduction,1. Why do ML models require optimization algorithms like gradient descent?
,2. How does gradient descent update model parameters?
,3. What role does the learning rate play in gradient descent?
Slide: Gradient descent – geometric intuition,1. How is the gradient interpreted geometrically in the lecture?
,2. Why does the negative gradient point toward lower cost?
,3. What happens when the learning rate is too large?
Slide: Stochastic gradient descent (SGD),1. How does SGD differ from standard batch gradient descent?
,2. Why does using mini-batches speed up training?
,3. What trade-offs are introduced by SGD's noisy updates?
Slide: Loss functions – example: squared loss,1. What does a loss function measure in machine learning?
,2. Why is squared loss commonly used in regression tasks?
,3. What is the relationship between loss and model training?
Slide: Overfitting and model evaluation using validation set,1. Why is a validation set needed in addition to a training set?
,2. How does the validation set help detect overfitting?
,3. What happens if hyperparameters are tuned only on training data?
Slide: Bias–variance trade-off – conceptual slide,1. What is bias in the context of ML models?
,2. What does variance represent in model performance?
,3. How does the bias–variance trade-off influence model selection?
Slide: Model capacity and expressiveness,1. How does increasing model capacity affect training error?
,2. Why can higher capacity lead to increased variance?
,3. What is the risk of choosing a model that is too expressive?
Slide: Dimensionality reduction – motivation,1. Why is dimensionality reduction needed in high-dimensional datasets?
,2. What issues arise from having too many features?
,3. How does dimensionality reduction improve model performance?
Slide: Principal Component Analysis (PCA) – idea,1. What is the main purpose of PCA?
,2. How does PCA capture the directions of greatest variance?
,3. Why does PCA create new uncorrelated components?
Slide: PCA – geometric intuition,1. How does PCA relate to rotating the coordinate system?
,2. Why does the first principal component capture most variance?
,3. How is dimensionality reduced while preserving variance?
Slide: PCA – projection onto principal components,1. What does projecting data onto principal components achieve?
,2. Why does projection allow lower-dimensional representation?
,3. How does PCA reduce noise in high-dimensional datasets?
Slide: k-means clustering – core idea,1. What is the objective of k-means clustering?
,2. How does the algorithm assign points to clusters?
,3. What update step improves the cluster centers?
Slide: k-means clustering – iterative process,1. Why does k-means alternate between assignment and update steps?
,2. What criterion determines convergence in k-means?
,3. Why is k-means sensitive to the initial choice of cluster centers?
Slide: Mixture of Gaussians – intuition,1. What is a Gaussian mixture model (GMM)?
,2. Why does GMM allow soft cluster assignments?
,3. Why are mixtures more flexible than k-means?
Slide: EM algorithm – expectation and maximization,1. What happens during the E-step of the EM algorithm?
,2. What happens during the M-step?
,3. Why does iterating E and M steps increase likelihood?
Slide: Decision trees – splitting criteria,1. How do decision trees choose the best feature to split on?
,2. Why is information gain commonly used as a splitting criterion?
,3. What does a pure node represent in a decision tree?
